,First_pokemon,Second_pokemon,Winner
16552,Aipom,Mega Mewtwo Y,Mega Mewtwo Y
16553,Chimchar,Pansage,Pansage
16554,Piplup,Golbat,Golbat
16555,Glameow,Metagross,Glameow
16556,Steelix,Sunkern,Sunkern
16557,Whimsicott,Croconaw,Whimsicott
16558,Keldeo Ordinary Form,Mawile,Keldeo Ordinary Form
16559,Metang,Sneasel,Sneasel
16560,Slaking,Ninetales,Ninetales
16561,Shaymin Land Form,Bidoof,Shaymin Land Form
16562,Kricketot,Spritzee,Kricketot
16563,Rattata,Ampharos,Rattata
16564,Houndoom,Arceus,Arceus
16565,Cacturne,Slowking,Cacturne
16566,Elekid,Durant,Durant
16567,Chandelure,Shelmet,Chandelure
16568,Drifblim,Lapras,Drifblim
16569,Gigalith,Snorlax,Snorlax
16570,Tranquill,Kirlia,Tranquill
16571,Shiftry,Hoopa Confined,Shiftry
16572,Drifblim,Gabite,Gabite
16573,Pupitar,Latios,Latios
16574,Primeape,Castform,Primeape
16575,Piplup,Mankey,Mankey
16576,Shroomish,Metang,Metang
16577,Conkeldurr,Jolteon,Conkeldurr
16578,Shelgon,Mega Sceptile,Mega Sceptile
16579,Barboach,Arcanine,Arcanine
16580,Zekrom,Elekid,Elekid
16581,Weepinbell,Doduo,Doduo
16582,Goodra,Mega Alakazam,Mega Alakazam
16583,Sandslash,Mega Charizard X,Mega Charizard X
16584,Latias,Carnivine,Latias
16585,Gorebyss,Zorua,Zorua
16586,Slowbro,Mega Manectric,Mega Manectric
16587,Serperior,Dodrio,Serperior
16588,White Kyurem,Dunsparce,White Kyurem
16589,Mime Jr.,Trevenant,Mime Jr.
16590,Geodude,Mega Mewtwo Y,Mega Mewtwo Y
16591,Simipour,Glaceon,Simipour
16592,Deoxys Attack Form,Ponyta,Deoxys Attack Form
16593,Psyduck,Phione,Phione
16594,Oddish,Samurott,Samurott
16595,Baltoy,Shelgon,Baltoy
16596,Mega Metagross,Tynamo,Mega Metagross
16597,Claydol,Pumpkaboo Large Size,Claydol
16598,Croconaw,Mega Ampharos,Croconaw
16599,Roserade,Pachirisu,Pachirisu
16600,Litleo,Frogadier,Frogadier
16601,Porygon,Minccino,Minccino
16602,Pangoro,Pansear,Pansear
16603,Bellossom,Flygon,Flygon
16604,Dugtrio,Shroomish,Dugtrio
16605,Cyndaquil,Sharpedo,Sharpedo
16606,Tangrowth,Seaking,Seaking
16607,Seviper,Sunflora,Seviper
16608,Arceus,Mega Pinsir,Arceus
16609,Pignite,Wormadam Trash Cloak,Pignite
16610,Remoraid,Graveler,Remoraid
16611,Munchlax,Oddish,Munchlax
16612,Loudred,Horsea,Horsea
16613,Phanpy,Sudowoodo,Phanpy
16614,Tirtouga,Stantler,Stantler
16615,Minccino,Wooper,Minccino
16616,Dustox,Jolteon,Jolteon
16617,Sealeo,Entei,Entei
16618,Granbull,Barboach,Barboach
16619,Noibat,White Kyurem,White Kyurem
16620,Cradily,Wynaut,Cradily
16621,Deoxys Defense Form,Poliwrath,Deoxys Defense Form
16622,Simipour,Chinchou,Simipour
16623,Gengar,Electivire,Gengar
16624,Yveltal,Chansey,Yveltal
16625,Minccino,Drapion,Drapion
16626,Minccino,Mienfoo,Minccino
16627,Plusle,Pignite,Plusle
16628,Genesect,Gastly,Genesect
16629,Quagsire,Corsola,Corsola
16630,Goodra,Mega Blaziken,Mega Blaziken
16631,Torkoal,Carracosta,Carracosta
16632,Finneon,Gliscor,Gliscor
16633,Entei,Yanmega,Entei
16634,Giratina Altered Form,Samurott,Giratina Altered Form
16635,Swellow,Electivire,Swellow
16636,Meloetta Pirouette Form,Cloyster,Meloetta Pirouette Form
16637,Heatran,Burmy Plant Cloak,Heatran
16638,Growlithe,Skarmory,Skarmory
16639,Rayquaza,Lapras,Rayquaza
16640,Aurorus,Lunatone,Lunatone
16641,Gurdurr,Wailord,Wailord
16642,Electivire,Wooper,Electivire
16643,Milotic,Starmie,Starmie
16644,Mega Gardevoir,Aromatisse,Mega Gardevoir
16645,Munchlax,Shinx,Munchlax
16646,Lileep,Staryu,Staryu
16647,Flaaffy,Meloetta Aria Form,Meloetta Aria Form
16648,Uxie,Mega Swampert,Uxie
16649,Deoxys Speed Form,Tyrunt,Deoxys Speed Form
16650,Frillish,Stoutland,Stoutland
16651,Poliwhirl,Mega Gardevoir,Mega Gardevoir
16652,Nuzleaf,Grotle,Nuzleaf
16653,Latias,Quilladin,Latias
16654,Aegislash Shield Form,Poliwhirl,Poliwhirl
16655,Electrode,Mega Steelix,Mega Steelix
16656,Darmanitan Zen Mode,Mega Pidgeot,Mega Pidgeot
16657,Voltorb,Paras,Paras
16658,Braixen,Archen,Braixen
16659,Horsea,Krookodile,Krookodile
16660,Salamence,Aipom,Salamence
16661,Combee,Purugly,Purugly
16662,Regirock,Dragonair,Dragonair
16663,Palpitoad,Hoppip,Hoppip
16664,Mega Swampert,Swoobat,Swoobat
16665,Roserade,Ludicolo,Roserade
16666,Shelgon,Kabuto,Kabuto
16667,Simisage,Chansey,Simisage
16668,Mega Blastoise,Mega Salamence,Mega Salamence
16669,Petilil,Luvdisc,Petilil
16670,Talonflame,Koffing,Talonflame
16671,Gigalith,Simisear,Gigalith
16672,Steelix,Weavile,Weavile
16673,Carbink,Dusclops,Carbink
16674,Wailmer,Latias,Latias
16675,Jirachi,Numel,Jirachi
16676,Manectric,Aegislash Blade Form,Aegislash Blade Form
16677,Mega Tyranitar,Throh,Mega Tyranitar
16678,Mismagius,Paras,Mismagius
16679,Eevee,Braixen,Braixen
16680,Vigoroth,Dodrio,Dodrio
16681,Bellsprout,Wynaut,Bellsprout
16682,Herdier,Geodude,Herdier
16683,Regice,Klefki,Klefki
16684,Kakuna,Whismur,Kakuna
16685,Ferroseed,Exploud,Exploud
16686,Gothita,Gourgeist Small Size,Gourgeist Small Size
16687,Mega Ampharos,Genesect,Genesect
16688,Ho-oh,Nidoqueen,Ho-oh
16689,Mega Metagross,Deoxys Speed Form,Deoxys Speed Form
16690,Silcoon,Golduck,Golduck
16691,Luxio,Torkoal,Luxio
16692,Vanillish,Spheal,Vanillish
16693,Hoothoot,Cleffa,Hoothoot
16694,Haunter,Binacle,Haunter
16695,Accelgor,Lickilicky,Accelgor
16696,Kangaskhan,Mandibuzz,Kangaskhan
16697,Psyduck,Flabébé,Psyduck
16698,Mime Jr.,Vileplume,Vileplume
16699,Electabuzz,Sunflora,Electabuzz
16700,Dragonite,Chandelure,Chandelure
16701,Sunkern,Weedle,Weedle
16702,Klinklang,Trapinch,Klinklang
16703,Mega Mewtwo X,Swablu,Mega Mewtwo X
16704,Lickilicky,Nuzleaf,Nuzleaf
16705,Ludicolo,Clauncher,Ludicolo
16706,Fletchling,Tranquill,Tranquill
16707,Torkoal,Weezing,Weezing
16708,Bayleef,Gorebyss,Bayleef
16709,Persian,Electrike,Persian
16710,Mega Rayquaza,Keldeo Ordinary Form,Mega Rayquaza
16711,Electrike,Druddigon,Electrike
16712,Larvitar,Starly,Starly
16713,Gourgeist Large Size,Surskit,Gourgeist Large Size
16714,Nincada,Skitty,Skitty
16715,Loudred,Vigoroth,Vigoroth
16716,Dugtrio,Shelgon,Dugtrio
16717,Huntail,Lombre,Huntail
16718,Nidorina,Arbok,Arbok
16719,Buizel,Skarmory,Buizel
16720,Carbink,Slowbro,Carbink
16721,Sunflora,Deoxys Attack Form,Deoxys Attack Form
16722,Murkrow,Walrein,Murkrow
16723,Horsea,Sentret,Horsea
16724,Binacle,Tyranitar,Tyranitar
16725,Beautifly,Galvantula,Galvantula
16726,Hydreigon,Mega Absol,Mega Absol
16727,Golurk,Gorebyss,Gorebyss
16728,Drowzee,Vespiquen,Drowzee
16729,Nidoqueen,Crobat,Crobat
16730,Klinklang,Chinchou,Klinklang
16731,Weavile,Nidorino,Weavile
16732,Kingdra,Mega Beedrill,Mega Beedrill
16733,Mega Kangaskhan,Meditite,Mega Kangaskhan
16734,Bastiodon,Axew,Axew
16735,Zygarde 50% Form,Rhyperior,Zygarde 50% Form
16736,Rotom,Steelix,Rotom
16737,Butterfree,Scraggy,Butterfree
16738,Lickilicky,Houndour,Houndour
16739,Fearow,Doublade,Fearow
16740,Huntail,Zorua,Zorua
16741,Graveler,Florges,Florges
16742,Dustox,Aegislash Blade Form,Dustox
16743,Houndour,Nidorino,Nidorino
16744,Golbat,Woobat,Golbat
16745,Mesprit,Throh,Mesprit
16746,Boldore,Golduck,Golduck
16747,Escavalier,Scyther,Escavalier
16748,Deino,Clawitzer,Clawitzer
16749,Espeon,Weepinbell,Espeon
16750,Mega Altaria,Seedot,Mega Altaria
16751,Minccino,Milotic,Milotic
16752,Mega Gallade,Mienshao,Mega Gallade
16753,Azelf,Beldum,Azelf
16754,Sableye,Venusaur,Venusaur
16755,Aurorus,Avalugg,Aurorus
16756,Uxie,Hitmonchan,Uxie
16757,Tranquill,Zubat,Tranquill
16758,Floette,Nidoking,Nidoking
16759,Larvitar,Rayquaza,Rayquaza
16760,Parasect,Lumineon,Lumineon
16761,Bergmite,Walrein,Walrein
16762,Gastrodon,Avalugg,Gastrodon
16763,Scraggy,Delibird,Delibird
16764,Granbull,Raticate,Raticate
16765,Chikorita,Manectric,Manectric
16766,Vulpix,Whismur,Vulpix
16767,Swirlix,Yanma,Yanma
16768,Haxorus,Fearow,Fearow
16769,Kricketune,Paras,Kricketune
16770,Celebi,Vivillon,Celebi
16771,Aggron,Mega Lopunny,Mega Lopunny
16772,Pinsir,Venusaur,Pinsir
16773,Galvantula,Weepinbell,Galvantula
16774,Roggenrola,Zweilous,Zweilous
16775,Ledian,Shuckle,Ledian
16776,Lombre,Dragalge,Lombre
16777,Keldeo Resolute Form,Poliwhirl,Keldeo Resolute Form
16778,Crawdaunt,Magcargo,Crawdaunt
16779,Skrelp,Nincada,Nincada
16780,Mesprit,Farfetch'd,Mesprit
16781,Musharna,Wash Rotom,Wash Rotom
16782,Shinx,Crobat,Crobat
16783,Shuppet,Gastly,Gastly
16784,Glaceon,Nosepass,Glaceon
16785,Krookodile,Mega Aggron,Krookodile
16786,Poochyena,Totodile,Totodile
16787,Crawdaunt,Kakuna,Crawdaunt
16788,Miltank,Vigoroth,Miltank
16789,Drowzee,Charmeleon,Charmeleon
16790,Spewpa,Regirock,Regirock
16791,Rhyperior,Quagsire,Rhyperior
16792,Pumpkaboo Super Size,Feraligatr,Feraligatr
16793,Mega Salamence,Bronzong,Mega Salamence
16794,Haunter,Infernape,Infernape
16795,Quilladin,Hawlucha,Hawlucha
16796,Psyduck,Karrablast,Karrablast
16797,Pikachu,Honedge,Honedge
16798,Swadloon,Dunsparce,Dunsparce
16799,Sneasel,Pineco,Sneasel
16800,Pawniard,Diancie,Pawniard
16801,Pansear,Whirlipede,Pansear
16802,Krokorok,Skrelp,Krokorok
16803,Solrock,Barbaracle,Solrock
16804,Larvitar,Spiritomb,Larvitar
16805,Infernape,Fletchinder,Infernape
16806,Bergmite,Togekiss,Togekiss
16807,Swellow,Swablu,Swellow
16808,Dialga,Drowzee,Dialga
16809,Fennekin,Tangela,Tangela
16810,Scolipede,Gible,Scolipede
16811,Taillow,Stoutland,Taillow
16812,Scyther,Arcanine,Scyther
16813,Mega Steelix,Flareon,Flareon
16814,Wormadam Trash Cloak,Bergmite,Wormadam Trash Cloak
16815,Blitzle,Gourgeist Super Size,Blitzle
16816,Registeel,Tyrunt,Registeel
16817,Metapod,Vespiquen,Vespiquen
16818,Virizion,Delphox,Virizion
16819,Larvitar,Treecko,Treecko
16820,Corsola,Butterfree,Butterfree
16821,Froslass,Mega Kangaskhan,Mega Kangaskhan
16822,Reuniclus,Pansage,Pansage
16823,Talonflame,Sharpedo,Talonflame
16824,Armaldo,Drilbur,Drilbur
16825,Sneasel,Gourgeist Large Size,Sneasel
16826,Slakoth,Chimecho,Chimecho
16827,Ferrothorn,Tangela,Tangela
16828,Meganium,Scatterbug,Meganium
16829,Spinda,Archen,Archen
16830,Pidove,Beheeyem,Pidove
16831,Persian,Shuckle,Persian
16832,Seadra,Minun,Minun
16833,Doduo,Keldeo Ordinary Form,Keldeo Ordinary Form
16834,Furfrou,Binacle,Furfrou
16835,Kakuna,Fletchling,Fletchling
16836,Noibat,Ledian,Ledian
16837,Arbok,Mega Tyranitar,Arbok
16838,Simisage,Lugia,Lugia
16839,Crustle,Hawlucha,Crustle
16840,Mega Charizard X,Heatmor,Mega Charizard X
16841,Tyrunt,Baltoy,Baltoy
16842,Cinccino,Escavalier,Escavalier
16843,Snover,Mime Jr.,Mime Jr.
16844,Mr. Mime,Gloom,Gloom
16845,Butterfree,Spearow,Spearow
16846,Blitzle,Whismur,Blitzle
16847,Fletchinder,Lillipup,Fletchinder
16848,Weezing,Silcoon,Weezing
16849,Shuppet,Raticate,Raticate
16850,Venipede,Lilligant,Lilligant
16851,Mega Pidgeot,Regice,Mega Pidgeot
16852,Amoonguss,Chesnaught,Chesnaught
16853,Floatzel,Minccino,Floatzel
16854,Furfrou,Spiritomb,Spiritomb
16855,Turtwig,Bulbasaur,Bulbasaur
16856,Whimsicott,Mankey,Whimsicott
16857,Beautifly,Squirtle,Beautifly
16858,Sylveon,Quilladin,Sylveon
16859,Snivy,Vaporeon,Vaporeon
16860,Krookodile,Stoutland,Krookodile
16861,Haunter,Ralts,Haunter
16862,Yanma,Lickitung,Yanma
16863,Krookodile,Luxray,Krookodile
16864,Arceus,Machamp,Arceus
16865,Stoutland,Mega Sharpedo,Mega Sharpedo
16866,Anorith,Weepinbell,Anorith
16867,Archen,Mega Sableye,Archen
16868,Jigglypuff,Metagross,Metagross
16869,Bronzong,Gible,Gible
16870,Giratina Altered Form,Shaymin Land Form,Shaymin Land Form
16871,Kirlia,Toxicroak,Toxicroak
16872,Rotom,Krokorok,Krokorok
16873,Hitmonchan,Houndour,Hitmonchan
16874,Froakie,Lileep,Froakie
16875,Gorebyss,Gengar,Gengar
16876,Jirachi,Starly,Jirachi
16877,Wynaut,Furfrou,Furfrou
16878,Emolga,Infernape,Infernape
16879,Fearow,Sudowoodo,Fearow
16880,Frillish,Seel,Seel
16881,Porygon2,Vulpix,Vulpix
16882,Jirachi,Seismitoad,Jirachi
16883,Sunflora,Bellsprout,Bellsprout
16884,Darkrai,Omastar,Darkrai
16885,Bronzong,Nidoqueen,Bronzong
16886,Manaphy,Druddigon,Manaphy
16887,Tangrowth,Lileep,Tangrowth
16888,Deoxys Attack Form,Raichu,Deoxys Attack Form
16889,Drifblim,Lumineon,Lumineon
16890,Skiploom,Electrike,Skiploom
16891,Mega Absol,Lickilicky,Mega Absol
16892,Mismagius,Duskull,Mismagius
16893,Absol,Porygon,Absol
16894,Meloetta Aria Form,Tynamo,Meloetta Aria Form
16895,Mega Sharpedo,Sentret,Mega Sharpedo
16896,Starly,Mega Kangaskhan,Mega Kangaskhan
16897,Mega Mewtwo Y,Mienshao,Mega Mewtwo Y
16898,Serperior,Mothim,Serperior
16899,Virizion,Mamoswine,Virizion
16900,Boldore,Giratina Origin Form,Giratina Origin Form
16901,Yveltal,Whirlipede,Yveltal
16902,Moltres,Entei,Entei
16903,Sigilyph,Starmie,Starmie
16904,Cinccino,Pumpkaboo Average Size,Pumpkaboo Average Size
16905,Forretress,Pumpkaboo Large Size,Pumpkaboo Large Size
16906,Gothorita,Chimchar,Chimchar
16907,Sealeo,Hoopa Unbound,Hoopa Unbound
16908,Mega Charizard Y,Wormadam Trash Cloak,Mega Charizard Y
16909,Gorebyss,Doublade,Doublade
16910,Mandibuzz,Snivy,Mandibuzz
16911,Mega Gardevoir,Solosis,Mega Gardevoir
16912,Shinx,Finneon,Finneon
16913,Clefable,Drifloon,Drifloon
16914,Shinx,Cacturne,Cacturne
16915,Skiploom,Jumpluff,Jumpluff
16916,Growlithe,Mega Blastoise,Mega Blastoise
16917,Gligar,Aegislash Blade Form,Gligar
16918,Lileep,Gogoat,Gogoat
16919,Deerling,Crobat,Crobat
16920,Makuhita,Mega Altaria,Mega Altaria
16921,Flareon,Clefable,Flareon
16922,Gligar,Quilava,Gligar
16923,Combusken,Hippopotas,Combusken
16924,Panpour,Deoxys Speed Form,Deoxys Speed Form
16925,Floette,Karrablast,Karrablast
16926,Mega Ampharos,Yamask,Mega Ampharos
16927,Scizor,Pikachu,Pikachu
16928,Gothorita,Krookodile,Krookodile
16929,Togekiss,Seadra,Seadra
16930,Dustox,Mega Manectric,Mega Manectric
16931,Finneon,Roserade,Roserade
16932,Bunnelby,Litleo,Litleo
16933,Milotic,Kadabra,Kadabra
16934,Vespiquen,Deoxys Defense Form,Deoxys Defense Form
16935,Dragonite,Silcoon,Dragonite
16936,Croagunk,Florges,Florges
16937,Starly,Porygon,Starly
16938,Mienfoo,Machoke,Mienfoo
16939,Quilava,Clauncher,Quilava
16940,Patrat,Wurmple,Patrat
16941,Ponyta,Onix,Ponyta
16942,Sharpedo,Marshtomp,Sharpedo
16943,Dragalge,Starly,Starly
16944,Slurpuff,Dewott,Slurpuff
16945,Sawk,Qwilfish,Qwilfish
16946,Slowpoke,Elgyem,Elgyem
16947,Seviper,Zorua,Zorua
16948,Umbreon,Gyarados,Gyarados
16949,Swablu,Sharpedo,Sharpedo
16950,Chingling,Mega Glalie,Mega Glalie
16951,Dewott,Scyther,Scyther
16952,Meloetta Aria Form,Mega Heracross,Meloetta Aria Form
16953,Venipede,Abomasnow,Abomasnow
16954,Trapinch,Heliolisk,Trapinch
16955,Cofagrigus,Mow Rotom,Mow Rotom
16956,Honedge,Magnezone,Magnezone
16957,Blitzle,Heatmor,Blitzle
16958,Pancham,Crustle,Crustle
16959,Furfrou,Slaking,Furfrou
16960,Drapion,Mismagius,Mismagius
16961,Flabébé,Braviary,Braviary
16962,Mega Salamence,Whimsicott,Mega Salamence
16963,Altaria,Elgyem,Altaria
16964,Whismur,Mega Abomasnow,Mega Abomasnow
16965,Kadabra,Thundurus Therian Form,Kadabra
16966,Mega Sableye,Cubchoo,Cubchoo
16967,Monferno,Haxorus,Haxorus
16968,Manaphy,Tyrogue,Manaphy
16969,Natu,Mega Ampharos,Natu
16970,Dodrio,Donphan,Dodrio
16971,Dragonite,Skarmory,Dragonite
16972,Mega Heracross,Bulbasaur,Mega Heracross
16973,Glalie,Surskit,Glalie
16974,Vibrava,Mega Banette,Mega Banette
16975,Alakazam,Sandile,Alakazam
16976,Empoleon,Medicham,Medicham
16977,Sharpedo,Archeops,Archeops
16978,Sigilyph,Meowstic Male,Meowstic Male
16979,Tranquill,Roselia,Roselia
16980,Bulbasaur,Chinchou,Chinchou
16981,Phanpy,Chimchar,Chimchar
16982,Black Kyurem,Slurpuff,Slurpuff
16983,Nidoran♂,Mega Venusaur,Mega Venusaur
16984,Swoobat,Crawdaunt,Swoobat
16985,Psyduck,Amaura,Psyduck
16986,Mr. Mime,Flaaffy,Mr. Mime
16987,Mega Sableye,Electivire,Electivire
16988,Quagsire,Mega Metagross,Mega Metagross
16989,Scolipede,Ekans,Scolipede
16990,Lilligant,Metang,Lilligant
16991,Jirachi,Mega Lucario,Mega Lucario
16992,Klefki,Froslass,Froslass
16993,Goodra,Pangoro,Goodra
16994,Tornadus Therian Form,Altaria,Tornadus Therian Form
16995,Alakazam,Glameow,Alakazam
16996,Scyther,Happiny,Scyther
16997,Ralts,Rattata,Rattata
16998,Pupitar,Jirachi,Jirachi
16999,Bastiodon,Ludicolo,Ludicolo
17000,Meowstic Male,Pumpkaboo Large Size,Meowstic Male
17001,Mudkip,Shroomish,Mudkip
17002,Furfrou,Larvesta,Furfrou
17003,Sandile,Pidove,Sandile
17004,Purrloin,Wormadam Plant Cloak,Purrloin
17005,Toxicroak,Bouffalant,Toxicroak
17006,Electivire,Cubchoo,Electivire
17007,Reshiram,Zekrom,Zekrom
17008,Krokorok,Mega Lucario,Mega Lucario
17009,Emboar,Mamoswine,Mamoswine
17010,Mandibuzz,Hitmontop,Mandibuzz
17011,Seedot,Floette,Floette
17012,Metapod,Delphox,Delphox
17013,Ekans,Sealeo,Ekans
17014,Volbeat,Ferroseed,Volbeat
17015,Slowpoke,Gastly,Slowpoke
17016,Shedinja,Hitmonlee,Hitmonlee
17017,Mega Aggron,Dwebble,Dwebble
17018,Weezing,Sandile,Sandile
17019,Bisharp,Chesnaught,Bisharp
17020,Krabby,Snorunt,Snorunt
17021,Elekid,Shellder,Elekid
17022,Nidoqueen,Klang,Klang
17023,Ampharos,Spearow,Spearow
17024,Mega Mewtwo X,Qwilfish,Mega Mewtwo X
17025,Staryu,Nidoran♂,Staryu
17026,Geodude,Floette,Floette
17027,Grovyle,Froslass,Froslass
17028,Fletchling,Houndoom,Houndoom
17029,Teddiursa,Liepard,Liepard
17030,Lampent,Metang,Lampent
17031,Shinx,Infernape,Infernape
17032,Purugly,Corsola,Purugly
17033,Gigalith,Poliwhirl,Poliwhirl
17034,Mime Jr.,Palkia,Mime Jr.
17035,Lilligant,Igglybuff,Lilligant
17036,Phanpy,Magmar,Magmar
17037,Tropius,Lanturn,Lanturn
17038,Cacnea,Piloswine,Piloswine
17039,Giratina Altered Form,Drifloon,Giratina Altered Form
17040,Relicanth,Lairon,Relicanth
17041,Tornadus Incarnate Form,Riolu,Tornadus Incarnate Form
17042,Nidorina,Zapdos,Zapdos
17043,Uxie,Archen,Uxie
17044,Sableye,Mega Alakazam,Mega Alakazam
17045,Frost Rotom,Vullaby,Frost Rotom
17046,Horsea,Joltik,Joltik
17047,Bouffalant,Croconaw,Croconaw
17048,Shieldon,Phione,Phione
17049,Taillow,Escavalier,Escavalier
17050,Milotic,Rapidash,Rapidash
17051,Klang,Mega Charizard X,Mega Charizard X
17052,Spiritomb,Pancham,Pancham
17053,Chingling,Emboar,Emboar
17054,Kingdra,Zapdos,Zapdos
17055,Diancie,Sentret,Diancie
17056,Elekid,Karrablast,Elekid
17057,Claydol,Terrakion,Terrakion
17058,Bastiodon,Corsola,Corsola
17059,Magmortar,Yveltal,Yveltal
17060,Hoppip,Pangoro,Pangoro
17061,Mega Charizard X,Minun,Mega Charizard X
17062,Escavalier,Donphan,Escavalier
17063,Cinccino,Golett,Golett
17064,Mega Gyarados,Poliwhirl,Poliwhirl
17065,Venonat,Mega Sableye,Venonat
17066,Vulpix,Starly,Vulpix
17067,Grotle,Dusclops,Grotle
17068,Frillish,Beldum,Frillish
17069,Treecko,Krookodile,Krookodile
17070,Thundurus Incarnate Form,Grimer,Thundurus Incarnate Form
17071,Zapdos,Larvesta,Zapdos
17072,Garbodor,Inkay,Garbodor
17073,Oshawott,Simisage,Simisage
17074,Kecleon,Zorua,Zorua
17075,Smoochum,Magby,Magby
17076,Bonsly,Sewaddle,Bonsly
17077,Combee,Darumaka,Darumaka
17078,Cranidos,Dewgong,Dewgong
17079,Misdreavus,Yanma,Yanma
17080,Milotic,Garbodor,Milotic
17081,Meowth,Conkeldurr,Conkeldurr
17082,Electabuzz,Basculin White-Striped Form,Electabuzz
17083,Camerupt,Jirachi,Jirachi
17084,Spinda,Dodrio,Dodrio
17085,Torterra,Sylveon,Sylveon
17086,Drilbur,Carnivine,Drilbur
17087,Sentret,Gliscor,Gliscor
17088,Psyduck,Bibarel,Bibarel
17089,Slugma,Ponyta,Ponyta
17090,Ledyba,Machoke,Ledyba
17091,Charmander,Bergmite,Charmander
17092,Nidoqueen,Aggron,Aggron
17093,Frillish,Mega Metagross,Mega Metagross
17094,Minun,Mega Heracross,Minun
17095,Mega Sableye,Rayquaza,Rayquaza
17096,Jigglypuff,Vanillish,Vanillish
17097,Cubone,Mismagius,Mismagius
17098,Vanilluxe,Slowking,Vanilluxe
17099,Mega Altaria,Tynamo,Mega Altaria
17100,Scyther,Karrablast,Scyther
17101,Meowth,Zebstrika,Zebstrika
17102,Mega Mewtwo X,Onix,Mega Mewtwo X
17103,Nidoran♂,Pichu,Pichu
17104,Nidoking,Sylveon,Nidoking
17105,Mega Sceptile,Shelgon,Mega Sceptile
17106,Mega Aerodactyl,Simisear,Mega Aerodactyl
17107,Golbat,Pangoro,Golbat
17108,Gabite,Mantyke,Mantyke
17109,Primal Kyogre,Manaphy,Manaphy
17110,Delibird,Helioptile,Delibird
17111,Slaking,Rufflet,Slaking
17112,Lanturn,Buizel,Buizel
17113,Piplup,Buneary,Buneary
17114,Boldore,Baltoy,Baltoy
17115,Ampharos,Deoxys Speed Form,Deoxys Speed Form
17116,Fennekin,Xerneas,Xerneas
17117,Cryogonal,Quilava,Cryogonal
17118,Mega Pidgeot,Mudkip,Mega Pidgeot
17119,Sylveon,Palpitoad,Palpitoad
17120,Skitty,Quilava,Quilava
17121,Bunnelby,Dunsparce,Bunnelby
17122,Victini,Shinx,Victini
17123,Mega Gardevoir,Gourgeist Large Size,Mega Gardevoir
17124,Elekid,Mightyena,Elekid
17125,Trevenant,Electivire,Electivire
17126,Wailord,Mega Scizor,Mega Scizor
17127,Buizel,Electrike,Buizel
17128,Hitmonchan,Crustle,Hitmonchan
17129,Krokorok,Sawk,Sawk
17130,Fraxure,Krokorok,Krokorok
17131,Cleffa,Venomoth,Venomoth
17132,Aerodactyl,Mega Houndoom,Aerodactyl
17133,Entei,Lombre,Entei
17134,Exeggcute,Abra,Exeggcute
17135,Klefki,Makuhita,Klefki
17136,Regigigas,Xerneas,Regigigas
17137,Luxray,Chimecho,Luxray
17138,Mega Mewtwo Y,Bellossom,Mega Mewtwo Y
17139,Roggenrola,Aerodactyl,Aerodactyl
17140,Deino,Latias,Latias
17141,Slakoth,Delcatty,Delcatty
17142,Spearow,Ambipom,Ambipom
17143,Goldeen,Heatmor,Heatmor
17144,Shieldon,Beheeyem,Beheeyem
17145,Bulbasaur,Exeggutor,Exeggutor
17146,Shuckle,Mega Aerodactyl,Mega Aerodactyl
17147,Mega Gallade,Karrablast,Mega Gallade
17148,Claydol,Pichu,Claydol
17149,Snivy,Yanma,Yanma
17150,Totodile,Carvanha,Carvanha
17151,Machop,Pachirisu,Pachirisu
17152,Shedinja,Deoxys Attack Form,Deoxys Attack Form
17153,Meowth,Remoraid,Meowth
17154,Kecleon,Riolu,Riolu
17155,Krokorok,Nidoran♂,Krokorok
17156,Liepard,Petilil,Liepard
17157,Beldum,Cradily,Cradily
17158,Tepig,Mewtwo,Mewtwo
17159,Masquerain,Grimer,Masquerain
17160,Lombre,Tauros,Tauros
17161,Flaaffy,Mesprit,Mesprit
17162,Mamoswine,Kabuto,Mamoswine
17163,Mega Sharpedo,Venusaur,Mega Sharpedo
17164,Glaceon,Cryogonal,Cryogonal
17165,Pansage,Charmander,Charmander
17166,Growlithe,Mega Charizard X,Mega Charizard X
17167,Axew,Swampert,Swampert
17168,Poliwrath,Spheal,Poliwrath
17169,Pangoro,Girafarig,Pangoro
17170,Mega Aggron,Walrein,Walrein
17171,Meloetta Pirouette Form,Ekans,Meloetta Pirouette Form
17172,Scraggy,Diglett,Scraggy
17173,Whimsicott,Leavanny,Whimsicott
17174,Remoraid,Parasect,Remoraid
17175,Timburr,Ho-oh,Ho-oh
17176,Sableye,Mega Manectric,Mega Manectric
17177,Omanyte,Grovyle,Grovyle
17178,Ledyba,Latios,Latios
17179,Mega Garchomp,Krabby,Mega Garchomp
17180,Diggersby,Golurk,Diggersby
17181,Nincada,Houndour,Houndour
17182,Foongus,Mega Houndoom,Mega Houndoom
